Car ID,Chosen Path,Time Taken,Optimal Path (Empty System),Optimal Time (Empty System)
90,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
91,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
92,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
93,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
94,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
95,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
96,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
97,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
98,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
99,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
100,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
101,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
102,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
103,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
104,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
105,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
106,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
107,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
108,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
109,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
110,"['City 2', 'City 1']",38,"['City 2', 'City 1']",36.0
111,"['City 2', 'City 1']",39,"['City 2', 'City 1']",36.0
112,"['City 2', 'City 1']",39,"['City 2', 'City 1']",36.0
113,"['City 2', 'City 1']",39,"['City 2', 'City 1']",36.0
114,"['City 2', 'City 1']",39,"['City 2', 'City 1']",36.0
115,"['City 2', 'City 1']",39,"['City 2', 'City 1']",36.0
116,"['City 2', 'City 1']",40,"['City 2', 'City 1']",36.0
117,"['City 2', 'City 1']",40,"['City 2', 'City 1']",36.0
118,"['City 2', 'City 1']",40,"['City 2', 'City 1']",36.0
119,"['City 2', 'City 1']",41,"['City 2', 'City 1']",36.0
120,"['City 2', 'City 1']",42,"['City 2', 'City 1']",36.0
121,"['City 2', 'City 1']",74,"['City 2', 'City 1']",36.0
122,"['City 2', 'City 1']",74,"['City 2', 'City 1']",36.0
123,"['City 2', 'City 1']",74,"['City 2', 'City 1']",36.0
124,"['City 2', 'City 1']",74,"['City 2', 'City 1']",36.0
125,"['City 2', 'City 1']",74,"['City 2', 'City 1']",36.0
126,"['City 2', 'City 1']",75,"['City 2', 'City 1']",36.0
127,"['City 2', 'City 1']",75,"['City 2', 'City 1']",36.0
128,"['City 2', 'City 1']",75,"['City 2', 'City 1']",36.0
129,"['City 2', 'City 1']",75,"['City 2', 'City 1']",36.0
130,"['City 2', 'City 1']",75,"['City 2', 'City 1']",36.0
131,"['City 2', 'City 1']",76,"['City 2', 'City 1']",36.0
132,"['City 2', 'City 1']",76,"['City 2', 'City 1']",36.0
133,"['City 2', 'City 1']",76,"['City 2', 'City 1']",36.0
134,"['City 2', 'City 1']",76,"['City 2', 'City 1']",36.0
135,"['City 2', 'City 1']",77,"['City 2', 'City 1']",36.0
136,"['City 2', 'City 1']",77,"['City 2', 'City 1']",36.0
137,"['City 2', 'City 1']",77,"['City 2', 'City 1']",36.0
138,"['City 2', 'City 1']",78,"['City 2', 'City 1']",36.0
139,"['City 2', 'City 1']",78,"['City 2', 'City 1']",36.0
140,"['City 2', 'City 1']",79,"['City 2', 'City 1']",36.0
141,"['City 2', 'City 1']",110,"['City 2', 'City 1']",36.0
142,"['City 2', 'City 1']",110,"['City 2', 'City 1']",36.0
143,"['City 2', 'City 1']",110,"['City 2', 'City 1']",36.0
144,"['City 2', 'City 1']",111,"['City 2', 'City 1']",36.0
145,"['City 2', 'City 1']",111,"['City 2', 'City 1']",36.0
146,"['City 2', 'City 1']",111,"['City 2', 'City 1']",36.0
147,"['City 2', 'City 1']",111,"['City 2', 'City 1']",36.0
148,"['City 2', 'City 1']",112,"['City 2', 'City 1']",36.0
149,"['City 2', 'City 1']",112,"['City 2', 'City 1']",36.0
150,"['City 2', 'City 1']",112,"['City 2', 'City 1']",36.0
151,"['City 2', 'City 1']",112,"['City 2', 'City 1']",36.0
152,"['City 2', 'City 1']",113,"['City 2', 'City 1']",36.0
153,"['City 2', 'City 1']",113,"['City 2', 'City 1']",36.0
154,"['City 2', 'City 1']",113,"['City 2', 'City 1']",36.0
155,"['City 2', 'City 1']",114,"['City 2', 'City 1']",36.0
156,"['City 2', 'City 1']",114,"['City 2', 'City 1']",36.0
157,"['City 2', 'City 1']",114,"['City 2', 'City 1']",36.0
158,"['City 2', 'City 1']",115,"['City 2', 'City 1']",36.0
159,"['City 2', 'City 1']",115,"['City 2', 'City 1']",36.0
160,"['City 2', 'City 1']",116,"['City 2', 'City 1']",36.0
161,"['City 2', 'City 1']",146,"['City 2', 'City 1']",36.0
162,"['City 2', 'City 1']",146,"['City 2', 'City 1']",36.0
163,"['City 2', 'City 1']",147,"['City 2', 'City 1']",36.0
164,"['City 2', 'City 1']",147,"['City 2', 'City 1']",36.0
165,"['City 2', 'City 1']",147,"['City 2', 'City 1']",36.0
166,"['City 2', 'City 1']",148,"['City 2', 'City 1']",36.0
167,"['City 2', 'City 1']",148,"['City 2', 'City 1']",36.0
168,"['City 2', 'City 1']",148,"['City 2', 'City 1']",36.0
169,"['City 2', 'City 1']",149,"['City 2', 'City 1']",36.0
170,"['City 2', 'City 1']",149,"['City 2', 'City 1']",36.0
171,"['City 2', 'City 1']",149,"['City 2', 'City 1']",36.0
172,"['City 2', 'City 1']",150,"['City 2', 'City 1']",36.0
173,"['City 2', 'City 1']",150,"['City 2', 'City 1']",36.0
174,"['City 2', 'City 1']",150,"['City 2', 'City 1']",36.0
175,"['City 2', 'City 1']",151,"['City 2', 'City 1']",36.0
176,"['City 2', 'City 1']",151,"['City 2', 'City 1']",36.0
177,"['City 2', 'City 1']",151,"['City 2', 'City 1']",36.0
178,"['City 2', 'City 1']",152,"['City 2', 'City 1']",36.0
179,"['City 2', 'City 1']",152,"['City 2', 'City 1']",36.0
180,"['City 2', 'City 1']",153,"['City 2', 'City 1']",36.0
181,"['City 2', 'City 1']",182,"['City 2', 'City 1']",36.0
182,"['City 2', 'City 1']",183,"['City 2', 'City 1']",36.0
183,"['City 2', 'City 1']",183,"['City 2', 'City 1']",36.0
184,"['City 2', 'City 1']",184,"['City 2', 'City 1']",36.0
185,"['City 2', 'City 1']",184,"['City 2', 'City 1']",36.0
